id,name,image,width,height
1502,"HALIBORANGE ADULT IMMUNE SUPPORT 30 CAPS",/products/haliborange-adult-immune-support-30-caps.png,320,511
1195,"NYOY CLASSIC CONDOMS B/16",/products/nyoy-classic-condoms-b-16.png,384,384
422,"ZINPLEX COMBO PACK 3 PRODUITS, 120 TABS",/products/zinplex-combo-pack-3-produits-120-tabs.png,322,322
1614,"GERBER BABY CEREAL PROBIOTIC OATMEAL BANANA 8OZ",/products/gerber-baby-cereal-probiotic-oatmeal-banana-8oz.png,336,336
696,"DUREX  ORAGASMIC INTENSE 10ML",/products/durex-oragasmic-intense-10ml.jpg,366,389
916,"AS I AM RICE WATER SPRAY 16OZ",/products/as-i-am-rice-water-spray-16oz.png,330,330
688,"DUREX B/3 EXTRA RIBBED",/products/durex-b-3-extra-ribbed.jpg,370,464
942,"MIRACLE 9 DEEP ULTRA-HYDRATING HONEY&AVOCADO CONDITIONER 12 OZ",/products/miracle-9-deep-ultra-hydrating-honey-avocado-conditioner-12-oz.png,324,486
1037,"2026 LATEST TRENDY ACETATE OPTICAL FRAMES FOR UNISEX",/products/2026-latest-trendy-acetate-optical-frames-for-unisex.png,454,261
992,"PC LENSES (ORANGE) #PC90 (87%-93% TINT)",/products/pc-lenses-orange-pc90-87-93-tint.jpg,151,353
980,"VICKS VAPODROPS LOZENGES SUGAR FREE WITH LEMON& MENTHOL 72G",/products/vicks-vapodrops-lozenges-sugar-free-with-lemon-menthol-72g.png,300,300
1008,"ACETATE CAT EYE EYEWEAR SUPPLIER - MODERN STYLE HIGH-QUALITY ACETATE MATERIAL",/products/acetate-cat-eye-eyewear-supplier-modern-style-high-quality-acetate-material.png,444,283
1012,"LATEST MODERN ACETATE SUNGLASSES UV400 FOR UNISEX",/products/latest-modern-acetate-sunglasses-uv400-for-unisex.png,438,231
110,"ORAL-B TOOTHPASTE 3-5 YEARS",/products/oral-b-toothpaste-3-5-years.png,253,492
1026,"FASHION OPTICAL FRAMES NEW DESIGN FOR WOMEN",/products/fashion-optical-frames-new-design-for-women.png,450,241
1031,"ACETATE SQUARE OPTICAL SPECTACLE FRAMES FOR MEN",/products/acetate-square-optical-spectacle-frames-for-men.png,436,213
